p;k;rb;coloring
31;13;4;[{0}, {1, 30}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}]
31;14;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {14}, {10}]
31;15;5;[{0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30}, {27, 3}, {15}, {24, 6}]
31;16;4;[{0, 2, 30}, {1}, {3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}]
31;17;4;[{0}, {1, 3, 5, 6, 9, 11, 12, 19, 20, 22, 25, 26, 28, 30}, {2, 4, 7, 8, 10, 13, 14, 15, 16, 17, 18, 21, 23, 24, 27, 29}]
31;18;4;[{0}, {1, 5, 6, 25, 26, 30}, {2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29}]
31;19;4;[{0}, {1, 9, 10, 11, 13, 18, 20, 21, 22, 30}, {2, 3, 4, 5, 6, 7, 8, 12, 14, 15, 16, 17, 19, 23, 24, 25, 26, 27, 28, 29}]
31;20;4;[{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {19, 6}, {18}]
31;21;4;[{0}, {1, 5, 6, 8, 9, 14, 17, 22, 23, 25, 26, 30}, {2, 3, 4, 7, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 24, 27, 28, 29}]
31;22;4;[{0}, {1, 3, 6, 7, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 24, 25, 28, 30}, {2, 4, 5, 8, 15, 16, 23, 26, 27, 29}]
31;23;4;[{0}, {1, 3, 9, 11, 12, 19, 20, 22, 28, 30}, {2, 4, 5, 6, 7, 8, 10, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 29}]
31;24;4;[{0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {8}, {2}]
31;25;4;[{0}, {1, 2, 4, 5, 8, 9, 10, 11, 13, 15, 16, 18, 20, 21, 22, 23, 26, 27, 29, 30}, {3, 6, 7, 12, 14, 17, 19, 24, 25, 28}]
31;26;4;[{0, 2, 30}, {1}, {3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}]
31;27;4;[{0}, {1, 5, 6, 25, 26, 30}, {2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29}]
31;28;4;[{0}, {1, 2, 3, 4, 6, 7, 8, 12, 14, 15, 16, 17, 19, 23, 24, 25, 27, 28, 29, 30}, {5, 9, 10, 11, 13, 18, 20, 21, 22, 26}]
31;29;4;[{0}, {1, 5, 6, 25, 26, 30}, {2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29}]
31;30;10;[{0, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29}, {2, 30}, {16}, {4, 28}, {8, 24}, {26, 6}, {10, 22}, {12, 20}, {18, 14}]
37;2;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {20}, {15}]
37;3;4;[{0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {7}, {5}]
37;4;4;[{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {1, 6}, {19}]
37;5;4;[{0}, {1, 33, 3, 4, 34, 6, 7, 36, 9, 12, 16, 21, 25, 28, 30, 31}, {2, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29, 32, 35}]
37;6;4;[{0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {13}, {4, 7}]
37;7;4;[{0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {23}, {8, 6}]
37;8;4;[{0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {8}, {5}]
37;9;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {17, 19}, {3}]
37;10;4;[{0}, {1, 4, 5, 6, 7, 9, 10, 13, 14, 17, 20, 23, 24, 27, 28, 30, 31, 32, 33, 36}, {2, 3, 34, 35, 8, 11, 12, 15, 16, 18, 19, 21, 22, 25, 26, 29}]
37;11;4;[{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {1}, {19}]
37;12;4;[{0, 1, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {3, 7}, {5}]
37;13;4;[{0}, {1, 10, 27, 36}, {2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35}]
37;14;4;[{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {15}, {2}]
37;15;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {24}, {4}]
37;16;4;[{0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {9, 17}, {8}]
